epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,97.9613,1.39543,0.948,0.99667,0.17455,0.000175146,0.000175146,0.000175146
2,168.096,0.44739,0.97333,0.99967,0.08871,0.000333131,0.000333131,0.000333131
3,197.212,0.34641,0.981,0.99967,0.07488,0.000473758,0.000473758,0.000473758
4,225.817,0.30038,0.989,0.99933,0.04189,0.000447889,0.000447889,0.000447889
5,255.157,0.26859,0.98967,0.99933,0.04047,0.000421852,0.000421852,0.000421852
6,284.644,0.2366,0.98633,0.99967,0.0439,0.000395815,0.000395815,0.000395815
7,314.244,0.21107,0.99033,0.99967,0.0344,0.000369778,0.000369778,0.000369778
8,343.659,0.18787,0.99433,0.99967,0.02115,0.000343741,0.000343741,0.000343741
9,373.251,0.16209,0.99267,0.99967,0.02287,0.000317704,0.000317704,0.000317704
10,402.421,0.14428,0.99267,1,0.02834,0.000291667,0.000291667,0.000291667
11,467.616,0.13432,0.99533,0.99967,0.01783,0.00026563,0.00026563,0.00026563
12,497.173,0.11558,0.996,1,0.01985,0.000239593,0.000239593,0.000239593
13,525.681,0.11122,0.99467,0.99967,0.01669,0.000213556,0.000213556,0.000213556
14,554.63,0.11207,0.99767,0.99967,0.00993,0.000187519,0.000187519,0.000187519
15,583.225,0.09917,0.997,0.99967,0.01037,0.000161482,0.000161482,0.000161482
16,611.932,0.07956,0.99767,0.99967,0.01042,0.000135445,0.000135445,0.000135445
17,640.666,0.07569,0.99733,0.99967,0.00939,0.000109408,0.000109408,0.000109408
18,669.407,0.07278,0.998,1,0.00486,8.3371e-05,8.3371e-05,8.3371e-05
19,698.19,0.06771,0.99833,1,0.00451,5.7334e-05,5.7334e-05,5.7334e-05
20,726.788,0.05778,0.99867,1,0.00384,3.1297e-05,3.1297e-05,3.1297e-05
